m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|lastFloor|furnished|registered|placeTitle
50|district|2|159085|03/02/2023 10:41:13|2|3|False||yes|Banovo Brdo
49|district|2|157270|03/02/2023 10:35:53|2|2|False||yes|Banovo Brdo
85|district|0|165000|05/01/2023 10:35:06|2.5|0|False|no|yes|Filmski Grad
93|district|2|255388|03/02/2023 10:13:15|3|4|False||yes|Banovo Brdo
68|gas|0|115000|06/29/2022 11:49:30|3|3|False|no||Cerak
70|district|0|118500|07/28/2022 18:25:48|3|0|False|no|yes|Julino Brdo
45|district|0|75000|08/13/2022 14:19:04|2|3|False|no||Čukarička Padina
74|district|0|300000|02/06/2023 15:25:47|3|1|False|no|yes|Banovo Brdo
60|gas|0|90000|08/02/2022 00:16:38|4|5|True||no|Cerak
49|district|1|98000|05/01/2023 00:07:47|1.5|3|False|no|yes|Julino Brdo
61|gas|0|130000|05/01/2023 00:07:46|2.5|1|True|no|yes|Cerak
178|central|0|450000|10/01/2020 21:38:30|4|2|False|no|yes|Golf Naselje
65|district|0|135000|01/31/2023 20:15:15|2.5|2|False|no|yes|Cerak Vinogradi
78|district|1|200000|04/30/2023 20:17:15|3|5|True|no|yes|Golf Naselje
72|district|1|280000|03/31/2023 19:32:29|3|1|False|no||Filmski Grad
41|central|0|45000|07/01/2021 18:49:53|2|-1|False||no|Novi Železnik
64|district|1|135000|03/01/2023 16:05:25|2|2|False|no|yes|Žarkovo
51|gas|0|88000|03/01/2023 15:29:59|2|1|False|no|yes|Bele Vode
37|storageHeater|0|77000|03/31/2023 15:23:07|2|4|True|no|yes|Žarkovo
52|electricity|0|129000|03/31/2023 14:23:09|2|4|False||yes|Banovo Brdo
47||0|40000|03/01/2023 14:07:45|1|-1|False|no|yes|Žarkovo
65|district|1|140000|02/01/2023 13:32:09|2.5|2|False|yes|yes|Cerak Vinogradi
74|district|1|270000|03/14/2023 14:23:18|3|3|False|no|yes|Banovo Brdo
37|storageHeater|0|50000|03/31/2023 12:29:44|1|-3|False|no||Železnik
68|gas|0|170000|03/31/2023 12:25:41|2.5|0|False|no|yes|Filmski Grad
42|central|0|76900|03/31/2023 12:17:23|2|5|True||yes|Žarkovo
55|central|1|110000|01/16/2023 17:25:26|2.5|100|False|no||Žarkovo
