Lokacija|BrojSoba|Mesec|Datum|ProsecnaCena
Barajevo|2.5|009|09/01/2018|452.28
Barajevo|2.5|010|10/01/2018|419.8533333333333
Barajevo|2.5|011|11/01/2018|441.35
Barajevo|2.5|012|12/01/2018|445.625
Barajevo|2.5|101|01/01/2019|450.03
Barajevo|2.5|102|02/01/2019|450.58
Barajevo|2.5|103|03/01/2019|443
Barajevo|2.5|104|04/01/2019|426.51666666666665
Barajevo|2.5|105|05/01/2019|424.7
Barajevo|2.5|106|06/01/2019|440.27
Barajevo|2.5|107|07/01/2019|417.44
Barajevo|2.5|108|08/01/2019|419.635
Barajevo|2.5|109|09/01/2019|416.64
Barajevo|2.5|110|10/01/2019|444.4866666666667
Barajevo|2.5|111|11/01/2019|447.81
Barajevo|2.5|112|12/01/2019|443.615
Barajevo|2.5|201|01/01/2020|470.405
Barajevo|2.5|202|02/01/2020|489.3
Barajevo|2.5|203|03/01/2020|474.72333333333336
Barajevo|2.5|204|04/01/2020|349.135
Barajevo|2.5|205|05/01/2020|451.24
Barajevo|2.5|206|06/01/2020|544.395
Barajevo|2.5|207|07/01/2020|550.3699999999999
Barajevo|2.5|208|08/01/2020|526.22
Barajevo|2.5|209|09/01/2020|581.5266666666666
Barajevo|2.5|210|10/01/2020|623.49
Barajevo|2.5|211|11/01/2020|615.525
Barajevo|2.5|212|12/01/2020|592.51
Barajevo|2.5|301|01/01/2021|565.72
Barajevo|2.5|302|02/01/2021|593.8299999999999
Barajevo|2.5|303|03/01/2021|632.9366666666666
Barajevo|2.5|304|04/01/2021|614.325
Barajevo|2.5|305|05/01/2021|584.375
Barajevo|2.5|306|06/01/2021|555.89
Barajevo|2.5|307|07/01/2021|532.9949999999999
Barajevo|2.5|308|08/01/2021|528.0166666666668
Barajevo|2.5|309|09/01/2021|538.3
Barajevo|2.5|310|10/01/2021|541.52
Barajevo|2.5|311|11/01/2021|559.66
Barajevo|2.5|312|12/01/2021|0
Barajevo|2.5|401|01/01/2022|546.58
Barajevo|2.5|402|02/01/2022|0
Barajevo|2.5|403|03/01/2022|0
Barajevo|2.5|404|04/01/2022|0
Barajevo|2.5|405|05/01/2022|692.98
Barajevo|2.5|406|06/01/2022|897.195
Barajevo|2.5|407|07/01/2022|978.97
Barajevo|2.5|408|08/01/2022|982.5350000000001
Barajevo|2.5|409|09/01/2022|913.4300000000001
Barajevo|2.5|410|10/01/2022|905.895
Barajevo|2.5|411|11/01/2022|1057.69
Barajevo|2.5|412|12/01/2022|1013.8699999999999
Barajevo|2.5|501|01/01/2023|947.2033333333333
Barajevo|2.5|502|02/01/2023|782.26
Barajevo|2.5|503|03/01/2023|0
Barajevo|2.5|504|04/01/2023|879.475
Barajevo|2.5|505|05/01/2023|870.8299999999999
Barajevo|2.5|506|06/01/2023|878.375
Barajevo|3|001|01/01/2018|508.26
Barajevo|3|002|02/01/2018|460.595
Barajevo|3|003|03/01/2018|482.07
Barajevo|3|004|04/01/2018|472.97
Barajevo|3|005|05/01/2018|404.78999999999996
Barajevo|3|006|06/01/2018|404.775
Barajevo|3|007|07/01/2018|391.67
Barajevo|3|008|08/01/2018|405.3333333333333
Barajevo|3|009|09/01/2018|437.49
Barajevo|3|010|10/01/2018|469.7966666666666
Barajevo|3|011|11/01/2018|484.81
Barajevo|3|012|12/01/2018|482.775
Barajevo|3|101|01/01/2019|459.89000000000004
Barajevo|3|102|02/01/2019|448.56333333333333
Barajevo|3|103|03/01/2019|487.695
Barajevo|3|104|04/01/2019|485.1066666666666
Barajevo|3|105|05/01/2019|475.6
Barajevo|3|106|06/01/2019|478.67
Barajevo|3|107|07/01/2019|493.06
Barajevo|3|108|08/01/2019|466.725
Barajevo|3|109|09/01/2019|440.745
Barajevo|3|110|10/01/2019|425.0466666666666
