m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|lastFloor|furnished|registered|placeTitle
88|district|1|150000|01/16/2023 18:18:03|3|7|False|no|yes|Vidikovac
34|district|1|79000|12/16/2022 18:12:22|1|8|False|no|yes|Miljakovac
77||1|193000|12/16/2022 16:12:33|3|4|False|no|yes|Miljakovac
100|electricity|0|100000|05/16/2022 15:43:40|3|1|False|no|yes|Rakovica - Centar
50|district|0|87000|03/16/2023 14:06:52|2|3|False|no|yes|Kanarevo Brdo
38|district|2|82000|04/14/2023 20:59:47|1.5|0|False|no|yes|Kanarevo Brdo
43|electricity|0|49500|03/15/2023 20:07:26|1.5|-2|False|no|yes|Rakovica - Centar
79|district|0|160000|12/15/2022 18:25:59|3|1|False|no|yes|Miljakovac
94||0|147000|12/15/2022 18:12:33|3.5|3|True|no|yes|Miljakovac III
46||0|117000|03/15/2023 16:11:28|2.5|0|False|no|yes|Kanarevo Brdo
56|district|0|100800|03/15/2023 16:11:27|2|-1|False|no|yes|Miljakovac
66|district|1|135000|02/15/2023 15:28:07|2|3|False|no|yes|Vidikovac
80|district|0|142000|03/15/2023 14:33:17|3|2|False|no|yes|Vidikovac
42|electricity|0|60900|02/15/2023 12:07:34|1.5|0|False|no|yes|Petlovo Brdo
38|central|0|75000|03/15/2023 11:47:47|2|2|True|yes|yes|Miljakovac III
64|district|1|138000|11/14/2022 16:27:05|2|2|False|no|yes|Vidikovac
43|district|1|86500|02/14/2023 15:23:30|1|1|False|no|yes|Kanarevo Brdo
36|district|0|71900|01/14/2023 14:19:51|1|1|False|no|yes|Miljakovac
300|gas|1|620000|04/13/2023 13:06:34|4|7|True|yes|in_progress|Vidikovac
90|storageHeater|0|85000|04/13/2023 12:58:26|3|4|True|no|yes|Kanarevo Brdo
33|central|0|68000|04/13/2023 11:27:37|1.5|3|False|yes|yes|Kneževac
61|district|0|130000|02/13/2023 23:26:50|2|-1|False|no|yes|Miljakovac
62|storageHeater|0|105000|02/13/2023 23:26:48|2|0|False|no|yes|Kanarevo Brdo
40|district|1|72000|02/13/2023 19:28:12|1.5|5|False|no|yes|Miljakovac II
43|central|0|49500|03/13/2023 17:24:00|1.5|-3|False|no|yes|Miljakovac
109|gas|1|325000|02/04/2022 16:19:42|4|7|True|no|yes|Vidikovac
67|district|0|122900|12/13/2022 16:22:19|2.5|2|False|no|yes|Kanarevo Brdo
50|district|1|125000|12/13/2022 14:12:31|1.5|2|False|no|yes|Skojevsko Naselje
74|district|2|142000|02/13/2023 14:12:38|2.5|2|False|no|yes|Kanarevo Brdo
116|gas|0|138000|09/13/2022 11:27:06|5|1|False|no|yes|Petlovo Brdo
71|district|1|195000|04/12/2023 07:12:33|3|3|False|yes|yes|Vidikovac
32|central|0|55000|04/12/2023 00:25:34|1.5|-1|False|no|yes|Petlovo Brdo
64|district|1|140000|11/12/2022 16:20:36|2.5|2|False|no|yes|Vidikovac
97|district|1|168000|04/11/2023 15:34:34|3|5|False|no|yes|Vidikovac
81|electricity|0|140000|04/06/2023 17:52:58|4|4|True|no|yes|Kanarevo Brdo
134|district|0|235000|03/08/2023 17:57:24|4|3|False|yes|yes|Stari Košutnjak
74|district|1|230000|04/11/2023 12:12:52|5|7|True|no|yes|Vidikovac
65|district|1|119000|08/22/2022 11:22:52|3|10|True|no|yes|Skojevsko Naselje
71|district|1|175000|04/11/2023 07:10:10|3|3|False|yes|yes|Vidikovac
81|central|0|80000|04/10/2023 17:33:41|4|2|True|no|yes|Resnik
76|central|0|130000|01/11/2023 17:29:57|3|1|False|no|yes|Petlovo Brdo
58|gas|0|90000|01/11/2023 16:16:23|3|0|False|no|yes|Petlovo Brdo
115|district|1|180000|01/11/2023 16:16:19|5|8|False|no|yes|Vidikovac
67|central|1|95000|01/11/2023 16:16:18|2.5|9|True|no|yes|Vidikovac
33|central|0|68000|04/10/2023 15:57:22|1|3|False|yes|yes|Labudovo Brdo
74|district|1|162000|10/11/2022 14:19:25|3|3|False|no|yes|Skojevsko Naselje
72|electricity|0|139000|03/11/2023 11:48:30|2|2|True|no|yes|Rakovica
110|gas|1|325000|04/11/2022 11:02:49|4|7|True|no|yes|Vidikovac
130|district|1|230000|01/10/2023 11:30:29|5|7|True|yes|yes|Vidikovac
66|district|1|150000|04/08/2023 16:07:15|2.5|2|False|no|yes|Vidikovac
43|central|0|95000|03/09/2023 14:25:38|1.5|3|False|no|yes|Miljakovac I
28|central|0|58000|03/09/2023 14:06:49|1.5|3|True|no|yes|Rakovica - Centar
76|central|0|123900|09/08/2022 18:12:40|4|1|True|no|yes|Kneževac
102|district|0|145000|03/08/2023 17:30:30|4.5|3|False|no|yes|Labudovo Brdo
56|district|0|109000|04/07/2023 15:33:06|2|3|False|no|yes|Kanarevo Brdo
90|district|1|180000|02/08/2023 15:26:24|3|7|False|no|yes|Vidikovac
61||0|114900|03/08/2023 15:22:25|2|1|False|no|yes|Vidikovac
129|central|0|195000|03/08/2023 14:24:36|5|-2|False|no|yes|Kanarevo Brdo
40|central|0|65000|04/07/2023 14:07:49|1.5|-1|False|no|yes|Rakovica - Centar
40|central|0|65000|04/07/2023 14:07:49|1.5|-1|False|no|yes|Rakovica - Centar
33|central|0|68000|04/07/2023 13:54:39|1|3|False|yes|yes|Labudovo Brdo
73|district|1|128000|02/01/2023 11:35:18|2.5|-1|False|no|no|Vidikovac
92|district|1|190000|04/07/2023 10:57:28|3.5|3|True|no|yes|Stari Košutnjak
44|gas|1|93900|04/07/2023 09:29:13|1.5|2|False|no|yes|Kneževac
67|district|0|119000|04/03/2023 16:12:41|2.5|4|True|no|yes|Kanarevo Brdo
49|electricity|0|98500|01/08/2023 00:15:54|2|2|False|no|yes|Kanarevo Brdo
48|central|0|81000|03/08/2023 00:07:58|2|100|False|no|yes|Kneževac
51|norwegianRadiators|0|110000|12/07/2022 20:25:56|2.5|2|True|no|yes|Rakovica
75|district|1|230000|04/06/2023 19:38:30|5|7|True|no|yes|Vidikovac
88|district|0|159000|02/07/2023 19:30:12|3.5|4|False|no|yes|Vidikovac
86|gas|0|140000|04/07/2022 15:33:23|3|-1|False|no|yes|Petlovo Brdo
50|district|0|87000|04/06/2023 13:33:05|2|3|False|no|yes|Kanarevo Brdo
49|district|1|97900|12/07/2022 12:12:18|1.5|4|False|no|yes|Rakovica - Centar
