m2|heatingType|elevator|price|createdAt|roomCount|redactedFloor|placeTitle
33|electricity|0|62000|04/20/2023 14:25:25|1.5|1|Vidikova��ka Pa
51|district|1|105000|04/20/2023 13:36:33|1.5|0|Vidikovac
72|gas|0|129900|08/21/2022 13:20:56|2.5|-1|Petlovo Brdo
95|district|3|160000|03/21/2023 12:27:54|3.5|6|Vidikovac
67|central|1|95000|03/21/2023 12:26:53|2.5|9|Vidikovac
92|district|3|160000|03/21/2023 12:19:25|3|6|Vidikovac
71|district|0|138000|04/20/2023 12:13:39|2.5|2|Miljakovac
59|district|1|115000|04/20/2023 10:36:10|2.5|4|Labudovo Brdo
87|district|3|160000|04/12/2023 18:47:42|3.5|12|Vidikovac
25|none|0|27000|04/19/2023 22:07:09|0.5|-3|Petlovo Brdo
51|district|1|106500|04/19/2023 21:33:31|1.5|0|Vidikovac
56|gas|0|129900|07/20/2022 21:21:26|3|-1|Petlovo Brdo
77|district|2|139000|01/20/2023 19:42:41|3.5|13|Vidikovac
115|district|0|115000|01/20/2023 19:32:53|4|3|Resnik
79|district|0|159000|03/20/2023 18:23:11|3|2|Miljakovac
36|central|0|55000|10/20/2022 18:16:51|1|3|Kne��
41|district|1|98400|02/20/2023 18:12:57|1|-1|Skojevsko Naselje
82|central|0|100000|02/20/2023 17:08:31|3|2|Vidikovac
79|district|0|158000|12/08/2022 09:18:28|3|1|Miljakovac
46|norwegianRadiators|0|117300|03/15/2023 16:21:46|2.5|0|Kanarevo Brdo
120|gas|0|134000|02/07/2023 19:01:06|5|1|Petlovo Brdo
54||0|119000|04/10/2023 20:05:36|2|1|Rakovica
56|central|0|89600|06/29/2022 19:21:53|1.5|-3|Vidikovac
54|district|1|97000|08/16/2022 15:19:05|1.5|6|Miljakovac
130|gas|0|142000|08/31/2022 17:20:21|3|-1|Petlovo Brdo
64|district|1|140000|11/12/2022 17:20:09|2|2|Vidikovac
41|district|1|105000|03/25/2023 16:25:45|1|3|Skojevsko Naselje
37|gas|1|102000|03/28/2023 16:26:51|2|-1|Vidikovac
100|district|0|200000|04/03/2023 16:27:32|2.5|3|Vidikovac
48|central|1|97000|04/19/2023 15:33:45|1.5|3|Skojevsko Naselje
65|district|0|119000|08/20/2022 15:17:50|3|10|Skojevsko Naselje
35|norwegianRadiators|1|50000|02/20/2023 15:06:19|1.5|1|Kne��
74|district|1|163000|10/19/2022 13:18:37|3|3|Skojevsko Naselje
60|electricity|0|50000|07/20/2022 14:30:34|2|1|Vidikovac
98|district|1|159000|02/20/2023 12:27:37|3.5|4|Vidikovac
58|central|0|104400|10/20/2022 12:19:01|3|2|Rakovica - Centar
305|central|1|324990|03/20/2023 12:19:00|4|7|Vidikovac
30|district|1|55000|01/20/2023 11:37:20|1|-1|Miljakovac I
70|district|0|114900|04/19/2023 10:26:17|3|5|Miljakovac II
37|district|1|99900|02/20/2023 10:19:08|1|4|Vidikovac
57|norwegianRadiators|0|117000|03/27/2023 18:05:24|2.5|1|Kanarevo Brdo
59|district|1|122500|03/16/2023 23:00:40|2|2|Skojevsko Naselje
51|district|1|105000|04/18/2023 17:06:15|1.5|0|Vidikovac
92|district|1|155000|10/19/2022 16:25:27|3.5|10|Kanarevo Brdo
54|district|1|120000|01/19/2023 15:30:13|1.5|1|Vidikovac
